title,imageUrl,directors,year,synopsis
Forty Deuce,https://metrograph.com/wp-content/uploads/2025/08/MSDFODE_EC007.jpeg,['Paul Morrissey'],1982,"Introduction by filmmaker Michael M. Bilandic on Friday, September 12th"
Made In New York: Best of NYC Indie Animation,https://metrograph.com/wp-content/uploads/2025/08/BUNNY_5.jpeg,['Multiple Dirs'],2004,"Just as New York has long been the capital of America’s artistically ambitious “Second Cinema,” a scrappy foil to the Los Angelino industry of streamlined entertainment, it is also home to a counter-tradition of independent animation that has…"
Madame Wang's,https://metrograph.com/wp-content/uploads/2025/08/MADAME-WANGS_2.webp,['Paul Morrissey'],1981,"Introduction by writer Nick Pinkerton on Saturday, September 6th"
Dirty Harry [4K DCP],https://metrograph.com/wp-content/uploads/2025/08/DIRTY-HARRY_6-copy.jpg,['Don Siegel'],1971,"An outraged Pauline Kael called it a “fascist masterpiece” in The New Yorker, Warner Brothers called it a cash cow, and audiences around the world called it a helluva wild ride, besotted with an entirely new breed of urban antihero, Clint Eastwood’s…"
Beethoven's Nephew,https://metrograph.com/wp-content/uploads/2025/08/BEETHOVENS-NEPHEW_1.webp,['Paul Morrissey'],1985,"While a passionate admirer of Beethoven the artist, Morrissey, in his lavish period biopic, shot on location in Vienna, paints a less than flattering portrait of Beethoven the man, as played here by Wolfgang Reichmann, in the cantankerous, stone-deaf…"
Invasion of the Body Snatchers,https://metrograph.com/wp-content/uploads/2025/08/INVASION-OF-THE-BODY-SNATCHERS_2-scaled.jpg,['Don Siegel'],1956,"Author Jack Finney deserves ample credit for the ingenious, paranoia-inducing concept of his 1955 novel The Body Snatchers—the citizens of a small California town are gradually replaced as they sleep by duplicates that gestate in alien seed pods, their…"
PRIVATE EVENT TODAY IN THEATER & COMMISSARY,https://metrograph.imgix.net/2022/05/privateevent.jpg?fm=pjpg&ixlib=php-3.3.1,['Fruit Chan'],2025,Please check back soon for updated showtimes!
The Conversation,https://metrograph.com/wp-content/uploads/2025/01/THE-CONVERSATION_4-Large.jpeg,['Francis Ford  Coppola'],1974,"Suffused in sorrow and creeping paranoia, Coppola’s Palme d’Or-winning follow-up to The Godfather stars Gene Hackman as Harry Caul, a solitary, guilt-gnawed San Francisco surveillance expert drawn into a murder mystery when one of his for-hire gigs…"
Peacock,https://metrograph.com/wp-content/uploads/2025/08/PEACOCK_2.jpeg,['Bernhard Wenger'],2024,"Wenger’s acidically funny, consistently unpredictable feature debut is a bittersweet satire starring Albrecht Schuch (All Quiet on the Western Front), in a role taking full advantage of his gift for physical comedy and capacity for pathos. As Matthias,…"
"Institute Benjamenta, or This Dream That One...",https://metrograph.com/wp-content/uploads/2025/08/INSTITUTE-BENJAMENTA_11-copy.jpg,"['Timothy Quay', 'Stephen  Quay']",1995,"Timothy and Stephen Quays’ first live-action feature, a free adaptation of Jakob von Gunten, the 1909 Bildungsroman by Swiss author Robert Walser, is a troubling work of oneiric cinema that garnered comparisons to early David Lynch. A young Mark Rylance…"
Saturday Afternoon Cartoons: School is Cool,https://metrograph.com/wp-content/uploads/2025/09/Bobby-Bumps-Starts-to-School-desk-scene.jpeg,['Multiple Dirs'],1950,"Saturday Afternoon Cartoons is New York City’s prime theatrical showcase of early and classic animated cartoons, shown in vintage 16mm film prints from the personal archives of historian Tommy José Stathes. Beginning more than 25 years ago as a casual…"
The Double,https://metrograph.com/wp-content/uploads/2024/08/THE-DOUBLE_6_resize.jpg,['Richard  Ayoade'],2013,"Inspired by the Dostoyevsky novella of the same title, Ayoade’s noir-inflected sophomore feature gives a dead game Jesse Eisenberg not one but two juicy parts as both a mousy, long-overlooked office drone, Simon James, and his new colleague, the…"
Atlantic Watch: Love + War,https://metrograph.com/wp-content/uploads/2025/08/LoveWar-CK-0L4A3521-R.jpeg,"['Chai Vasarhelyi', 'Jimmy Chin']",2025,"Post-screening conversation with Pulitzer Prize–winning photographer, Lynsey Addario, and director, Chai Vasarhelyi"
Black Is... Black Ain't,https://metrograph.com/wp-content/uploads/2025/08/BLACK-IS.-BLACK-AINT_3-copy.jpg,['Marlon Riggs'],1995,"Riggs was dead of complications of AIDS at age 37 before his final film had its much-praised theatrical rollout, his depiction of his own race against time to complete Black Is… Black Ain’t: one of the many threads making up the rich tapestry that is…"
Looking for Langston + Dressed Like Kings,https://metrograph.com/wp-content/uploads/2025/08/DRESSED-LIKE-KINGS_1-copy.jpg,"['Isaac Julien', 'Stacey Holman']",1989,"British artist Isaac Julien’s lyrical Looking for Langston fuses archival newsreel footage of 1920s Harlem with original scripted scenes shot in lush black-and-white, in order not only to recreate the atmosphere of the Harlem Renaissance as it exists in…"
"Merry Christmas, Mr. Lawrence",https://metrograph.com/wp-content/uploads/2025/08/MERRY-CHRISTMAS-MR.-LAWRENCE_6.jpeg,['Nagisa  Ôshima'],1983,"Ryuichi Sakamoto composed his first original score for Ōshima’s lacerating World War II-set drama, in which the musician also starred, in his film acting debut, as Captain Yonoi, the Bushidō code-obsessed commandant of a Japanese POW camp in occupied…"
A.I. Artificial Intelligence,https://metrograph.com/wp-content/uploads/2025/08/A.I.-ARTIFICIAL-INTELLIGENCE_5-copy.jpg,['Steven Spielberg'],2001,"The seemingly disparate sensibilities of sentimentalist Steven Spielberg and chilly ironist Stanley Kubrick, who left this science fiction Pinocchio story unrealized at the time of his death, here achieve an unexpected harmony. Haley Joel Osment plays a…"
Birth,https://metrograph.com/wp-content/uploads/2025/08/BIRTH_9.jpeg,['Jonathan  Glazer'],2004,"At the moment Anna’s (Nicole Kidman) husband, Sean, dies while jogging in Central Park, a child is born. Ten years later, as Anna has just accepted a marriage proposal from boyfriend Joseph (Danny Huston), that child slips into her apartment and informs…"
Tatami preceded by Khat,https://metrograph.com/wp-content/uploads/2025/08/TATAMI_2.jpeg,"['Zar Amir', 'Guy Nattiv']",2023,"Amir’s feature directorial debut, made in collaboration with Guy Nattiv—the first feature film co-directed by an Iranian and an Israeli filmmaker—is a potent mixture of political thriller and old-fashioned never-say-die sports drama (in black and…"
Crumb: 30th Anniversary [35mm],https://metrograph.com/wp-content/uploads/2025/09/crumb05h.jpeg,['Terry  Zwigoff'],1994,"Robert Crumb’s work as the breakout star of the underground cartooning scene was plenty well known before the appearance of this intimate, deeply melancholy documentary by his friend and sometimes bandmate Zwigoff, but Crumb revealed the deep well of…"
Mary Stephen Short Film Program,https://metrograph.com/wp-content/uploads/2025/09/memory-of-water.jpeg,['Mary Stephen'],1974,"Introduction by director/editor Mary Stephen on Friday, October 3rd"
The Beguiled,https://metrograph.com/wp-content/uploads/2025/09/THE-BEGUILED_3-copy.jpg,['Don Siegel'],1971,"Rooster-in-the-hen house Eastwood gets taken down a peg (and a leg) by the residents of Miss Martha Farnsworth Seminary for Young Ladies in Siegel’s seamy Southern Gothic psychological thriller, based on Thomas P. Cullinan’s 1966 novel of the same…"
Ghost in the Shell,https://metrograph.imgix.net/2023/06/Ghost_in_the_Shell_1995_030.jpeg?fm=pjpg&ixlib=php-3.3.1,['Mamoru  Oshii'],1995,"“My codename is Project 2501, and I am a life form that was born in a sea of information.” In the year 2029, the world looks like a hybridization of Hong Kong, Tokyo, and New York, yielding to entropy and technocracy. Cyborg Major Kusanagi, a perfect…"
Two People Exchanging Saliva Shorts Program,https://metrograph.com/wp-content/uploads/2025/09/two-people-copy.jpg,['Multiple Dirs'],2024,"Zar Amir stars opposite Portrait of a Lady on Fire’s Luàna Bajrami in Singh and Musteata’s audacious mid-length tragicomedy, Two People Exchanging Saliva. Narrated by Vicky Krieps and shot in strikingly stark black and white, it sets its scene in a…"
Palimpsest: The Story of a Name,https://metrograph.com/wp-content/uploads/2025/09/PALIMPSEST_2.jpeg,['Mary Stephen'],2025,"Q&A with Mary Stephen on Sunday, October 5th"
Hackers,https://metrograph.com/wp-content/uploads/2025/09/HACKERS_1-copy.jpg,['Ian Sofley'],1992,"Legally forbidden from touching a computer for seven years after a legendary hack, prodigy cyberwarrior Dade Murphy, aka “Zero Cool,” aka “Crash Override” (Jonny Lee Miller) logs back on for his 18th birthday, falls in with a gang of fellow teen…"
ACE Presents: The Aviator's Wife on 35mm,https://metrograph.com/wp-content/uploads/2025/09/THE-AVIATORS-WIFE_2.jpeg,['Éric Rohmer'],1981,"Q&A with editor Mary Stephen on Sunday, October 5th"
Freak Orlando,https://metrograph.com/wp-content/uploads/2025/09/orlando2.jpeg,['Ulrike Ottinger'],2020,"An outrageous, carnivalesque camp reading of Virginia Woolf’s Orlando, Ottinger’s crazed comedy follows its gender nonconforming hero/heroine through five wide-ranging adventures that span the history of the world: the Freak City department store,…"
